Ortalama hız (km/saat),Maksimum hız (km/saat),İrtifa (metre),GPS koordinat değişim miktarı
25.1,33.4,118,0.0021
26.5,35.0,121,0.0023
27.8,36.7,125,0.0026
28.9,38.2,129,0.0028
30.2,39.5,133,0.0030
31.4,40.3,137,0.0032
32.1,41.0,140,0.0034
33.0,42.0,144,0.0035
34.2,43.6,148,0.0037
35.5,44.2,152,0.0039
36.3,45.1,156,0.0041
37.7,46.5,160,0.0043
38.4,47.2,164,0.0045
39.2,48.3,168,0.0047
40.5,49.0,172,0.0049
41.8,50.1,175,0.0050
42.6,51.3,179,0.0052
43.0,52.0,182,0.0053
44.1,53.5,186,0.0055
45.3,54.1,190,0.0057
46.4,55.3,193,0.0059
47.5,56.4,197,0.0061
48.1,57.0,200,0.0063
49.2,58.2,204,0.0065
50.3,59.3,208,0.0067
51.1,60.1,211,0.0069
52.4,61.2,215,0.0071
53.7,62.3,219,0.0073
54.0,63.1,222,0.0074
55.2,64.5,226,0.0076
56.3,65.2,230,0.0078
57.6,66.1,234,0.0080
58.9,67.3,238,0.0082
59.7,68.4,242,0.0084
60.2,69.0,245,0.0086
61.4,70.0,249,0.0088
62.6,71.1,253,0.0090
63.1,71.8,257,0.0092
64.5,72.9,261,0.0094
65.7,73.6,264,0.0096
66.3,74.2,268,0.0098
67.2,75.0,272,0.0100
68.0,76.1,276,0.0102
69.1,77.3,280,0.0104
70.3,78.5,283,0.0106
71.5,79.2,287,0.0108
72.0,80.0,291,0.0110
73.1,81.2,295,0.0112
74.3,82.0,299,0.0114
75.4,83.1,303,0.0116
76.5,84.2,307,0.0118
77.0,85.0,310,0.0120
78.1,86.3,314,0.0122
79.3,87.5,318,0.0124
80.5,88.1,322,0.0126
81.0,89.3,325,0.0128
82.2,90.1,329,0.0130
83.3,91.0,333,0.0132
84.5,92.2,337,0.0134
85.7,93.4,341,0.0136
86.3,94.0,344,0.0138
87.5,95.1,348,0.0140
88.6,96.3,352,0.0142
89.2,97.2,356,0.0144
90.3,98.4,360,0.0146
91.5,99.1,364,0.0148
92.6,100.0,368,0.0150
93.3,101.2,372,0.0152
94.4,102.3,376,0.0154
95.5,103.0,380,0.0156
96.7,104.1,384,0.0158
97.0,105.2,388,0.0160
98.2,106.3,392,0.0162
99.4,107.1,396,0.0164
100.2,108.2,400,0.0166
101.5,109.3,404,0.0168
102.0,110.1,408,0.0170
103.2,111.2,412,0.0172
104.3,112.4,416,0.0174
105.5,113.5,420,0.0176
106.2,114.3,424,0.0178
107.4,115.5,428,0.0180
108.6,116.2,432,0.0182
109.7,117.4,436,0.0184
110.5,118.5,440,0.0186
111.7,119.2,444,0.0188
112.8,120.3,448,0.0190
113.9,121.4,452,0.0192
114.5,122.0,456,0.0194
115.6,123.1,460,0.0196
116.7,124.2,464,0.0198
117.2,125.0,468,0.0200
118.3,126.1,472,0.0202
119.5,127.3,476,0.0204
120.6,128.4,480,0.0206
121.8,129.5,484,0.0208
122.4,130.1,488,0.0210
123.6,131.3,492,0.0212
124.8,132.4,496,0.0214
125.2,133.5,500,0.0216
